Table 8,,,,,,,,,,,
FLORIDA,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2019",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Alachua,"10,070",41,0,4,7,30,230,32,191,7,1
Altamonte Springs,"44,582",107,0,14,31,62,"1,408",111,"1,212",85,1
Altha,504,0,0,0,0,0,0,0,0,0,0
Apopka,"55,072",206,0,25,41,140,"1,931",375,"1,406",150,1
Arcadia,"8,274",55,3,2,7,43,106,30,70,6,2
Astatula,"2,091",3,0,0,0,3,10,2,6,2,0
Atlantic Beach,"13,983",36,1,2,6,27,197,37,145,15,1
Atlantis,"2,126",6,0,0,2,4,54,6,41,7,0
Auburndale,"16,679",55,0,6,16,33,715,101,596,18,0
Aventura,"38,259",69,1,6,26,36,"1,815",87,"1,677",51,1
Bal Harbour Village,"3,086",0,0,0,0,0,98,3,92,3,0
Bartow,"20,296",77,2,9,10,56,613,98,491,24,2
Bay Harbor Islands,"6,018",3,0,2,0,1,51,4,36,11,0
Belleair,"4,253",1,0,0,0,1,32,8,21,3,0
Belleair Beach,"1,618",1,0,0,1,0,18,4,14,0,0
Belleair Bluffs,"2,209",2,1,0,0,1,33,6,25,2,0
Belle Glade,"20,301",200,4,9,16,171,405,81,292,32,5
Belle Isle,"7,326",16,0,0,9,7,119,23,70,26,0
Belleview,"5,086",20,0,3,6,11,208,71,129,8,2
Biscayne Park,"3,169",6,0,0,0,6,30,5,25,0,0
Blountstown,"2,473",6,0,0,0,6,36,8,23,5,0
Boca Raton,"101,163",186,3,36,63,84,"2,183",244,"1,769",170,6
Bonifay,"2,683",3,1,0,0,2,5,3,0,2,0
Bowling Green,"2,899",5,0,0,0,5,46,16,27,3,0
Boynton Beach,"79,360",566,4,30,120,412,"2,618",254,"2,147",217,3
Bradenton,"58,782",360,6,22,57,275,"1,474",204,"1,191",79,2
Bradenton Beach,"1,292",2,0,0,1,1,21,3,17,1,0
Brooksville,"8,373",50,0,8,10,32,332,60,255,17,4
Bunnell,"2,865",33,0,1,3,29,105,26,62,17,0
Cape Coral,"194,183",226,5,16,36,169,"2,176",274,"1,739",163,6
Casselberry,"29,244",90,0,7,18,65,936,96,788,52,2
Cedar Key,685,1,0,0,0,1,10,3,6,1,0
Center Hill,"1,472",1,0,0,0,1,5,2,3,0,0
Chattahoochee,"3,004",16,2,2,0,12,92,15,47,30,0
Chiefland,"2,162",0,0,0,0,0,55,27,26,2,0
Chipley,"3,567",26,0,2,5,19,115,13,88,14,0
Clearwater,"117,458",469,2,80,98,289,"2,810",268,"2,370",172,5
Clermont,"37,818",79,1,11,11,56,678,80,555,43,0
Clewiston,"8,098",26,1,1,5,19,211,73,130,8,0
Cocoa,"18,807",151,2,5,58,86,965,137,768,60,3
Cocoa Beach,"11,806",64,1,6,7,50,300,21,266,13,0
Coconut Creek,"62,471",82,2,13,19,48,"1,010",89,802,119,0
Cooper City,"36,890",26,0,7,8,11,360,34,303,23,1
Coral Gables,"51,530",50,0,4,17,29,"1,343",157,"1,103",83,4
Coral Springs,"134,967",195,2,40,55,98,"2,309",163,"1,977",169,2
Crescent City,"1,540",10,0,0,2,8,40,7,31,2,0
Crestview,"25,152",96,3,11,20,62,644,107,478,59,1
Cross City,"1,710",2,0,0,0,2,2,0,2,0,0
Cutler Bay,"45,452",94,3,7,28,56,"1,328",63,"1,172",93,1
Dade City,"7,337",36,0,8,5,23,287,32,245,10,0
Dania Beach,"32,593",221,2,31,59,129,"1,006",112,780,114,2
Davenport,"5,814",5,0,0,0,5,76,22,44,10,0
Davie,"108,486",276,2,21,63,190,"2,796",203,"2,316",277,11
Daytona Beach,"69,834",794,13,18,109,654,"2,833",380,"2,213",240,10
Daytona Beach Shores,"4,579",9,0,0,2,7,107,19,80,8,0
Deerfield Beach,"81,602",351,6,31,99,215,"2,161",211,"1,703",247,2
DeFuniak Springs,"6,940",29,0,3,0,26,188,23,144,21,2
DeLand,"34,468",198,4,1,26,167,"1,126",182,873,71,4
Delray Beach,"70,509",336,5,33,87,211,"2,418",299,"1,914",205,1
Doral,"64,168",62,1,9,13,39,"1,475",66,"1,287",122,0
Dunedin,"36,743",39,0,6,5,28,472,46,391,35,1
Dunnellon,"1,830",8,0,1,1,6,92,22,70,0,0
Eatonville,"2,317",39,0,3,4,32,114,29,73,12,0
Edgewater,"22,926",22,0,0,1,21,361,108,224,29,0
Edgewood,"3,044",3,0,0,1,2,66,12,48,6,0
El Portal,"2,479",2,0,0,2,0,25,4,21,0,0
Eustis,"21,432",53,1,3,12,37,536,72,402,62,6
Fellsmere,"5,830",5,1,0,1,3,48,5,39,4,0
Fernandina Beach,"12,710",25,1,4,0,20,152,13,130,9,1
Flagler Beach,"5,157",3,0,1,0,2,41,5,33,3,0
Florida City,"12,180",319,4,5,70,240,885,77,756,52,1
